sweep_tx,sweep_height,sweep_date,collector,victim_box,victim_address,victim_created_height,victim_created_date,idle_blocks,blocks_past_eligibility,hours_past_eligibility,erg_value,tokens
2a655ec20cc46b054bdeb13cad2af1264886b7eb213441aa54269d35d95c05c8,1873388,2026-09-15 02:46,collector-B,b4a2047e6bf8c2eefde8b04962f05b95695d24a2b321104e08c3b2084365d56a,9g9MBAKAqjBK4wDQjtTwj33ykEwfGvNVgMy3MkRmgDGCnm4zUq3,822181,2022-08-23,1051207,7,0.2,0.001,NETA=183.30
2f67523ac4716413c0b1c24642466f88244a2c82d26a3e557701aea449e4b107,1873388,2026-09-15 02:46,collector-B,c74f62f476174e0f94b917f964fe9d36987944b5907c1c9a054dcb61d1226295,9h6oAoAFZLUu2z3GpBJur4UX3eC6s4Y9UXb3ZQnmmZmgkYnCsQV,822181,2022-08-23,1051207,7,0.2,0.001,"NETA=2,538.52"
acacfc60b0dfb02d38af0dd036fff0dcdd69954b00902306df5861e659fdf76a,1873388,2026-09-15 02:46,collector-B,eb5845e8f6fa03ca132c8b9268f6a6d625f1ffb91707c0901eb1631535c3c263,9fHjdQA51smaWyAbASJtTHJ7v2fpV5MJdk6ERpysSA1kr7ar22S,822181,2022-08-23,1051207,7,0.2,0.001,NETA=36.77
c58a85a36f24373f4bbfe48fdd8c4ccff3b9acfa29011faff6895a5fcd9dd8c8,1873388,2026-09-15 02:46,collector-B,b8a4c3842c144edb9c4a2ed86fa85fdcc7a033b466453f37b4d270cc31097318,9g3FD9d266S7YhancWmdxzfVpNLeNY6EtR22u18hcu24wMpB2cb,822181,2022-08-23,1051207,7,0.2,0.001,NETA=250.12
23c1d7beaa08a884ff9353d94b963e1a370b383643b0de0742b6bd7f8989ed75,1873390,2026-09-15 02:51,collector-B,d6e604b8208d7392af96b15eb422821169e1d9f2e9e9f4f137508789a463f46e,9gnNNBmVzAauWxnQPnJXs8KsKSWM23wuj7r5N58CbnjjqxRQS7U,822181,2022-08-23,1051209,9,0.3,0.135135316,ergopad=1.19
ebc9ea0c516d0bb0c44a6dfb8e2567202a13d33d0bea8b29db89762b7ae7f9b3,1873390,2026-09-15 02:51,collector-B,bd69c5e434f17f89af655ca106efa1cf0304cfe636c7a83c802d8d9bd903f95b,9gRZ9cj879YkVt2W6KbCjDe72Cageq8XrpBHVhAciQCZBCiCk3a,822181,2022-08-23,1051209,9,0.3,0.081065077,ergopad=0.72
49d66373e51ead4901212b18d4c45a7990e26bc188757e7507ccad66c8d252eb,1873411,2026-09-15 03:24,collector-B,1b9e8db608a6518b5d9b0345c93746b34019ed0a4799926b079e9a2bbb70d9dc,9huWiMP12J6zH1UuRscJfJDTG1V7qGgvXVDHdTMJZiQqsMmF94a,822208,2022-08-23,1051203,3,0.1,0.123257659,ergopad=1.09
c73cdc36d232ea2400c7568fbf67065f1a0b9a75aa551e4bbd17056330bec736,1873411,2026-09-15 03:24,collector-B,7b6c2dd7f8edf54877d9536c93ad09a1d5ae40b3889fc22a1d429aa874844f78,9hKjDRc596mPNdKWcn813a8LGyAvPG2U3dPAEWTQLD1tr9QJBvE,822208,2022-08-23,1051203,3,0.1,0.091837188,ergopad=0.80
c73cdc36d232ea2400c7568fbf67065f1a0b9a75aa551e4bbd17056330bec736,1873411,2026-09-15 03:24,collector-B,e781a52ee481f1db63e996aee51fb9225df8014f051ae566f9b5e71662ab8364,26tpZU6i6zeBRuzZVo7tr47zjArAxkHP8x7ijiRbbrvLhySvSU84bH8wNPGGG27EwhJfJLe7bvRPv6B1jQFQqrWUQqBX1XJpVGoiNgveance6JFZ4mKv1KkRE8nBSB3jKBGnVJjJF6wR1Z8YXRsUqrTff4bfmtbhaRRjibnDDtKhS71spfjjTBeU1AhhQpitCDg4NFxmTLyV1arE7G2riZKzDryjWnCiEJGzWNxYtVt8uDxd3qNSRE5sHECwcsb98x7rn4q4FyHMvvWrRMPFfVgAQd5wHCAHwhMEdqUrSFQVkmUMavju8CLAgCNcVFjUBKPX4ooEHLUw3QkxS9Jp6fAFAGmzJ6QVD71mAZYMYhoEQnFyUBx1txJjVJjCrcZsW43dimbt5su4ahATJ8qRtWgwat8vTViTVXAcBmUSnqbqhAqTCxcsS5EFS6ApJSfthPHYUyXwtcbTptfdnUx1e5hEiGcwxoQ8ivufNNiZE9xkxi4nsBBrBVBJ7pfSSoHvbodkzLrq91RHYrvuatyLuBSxgJxs198xUQhULqxmWwgthJLrG5VVfVYH,822208,2022-08-23,1051203,3,0.1,0.003,Los Shadows - El Guayabera =1.00
c73cdc36d232ea2400c7568fbf67065f1a0b9a75aa551e4bbd17056330bec736,1873411,2026-09-15 03:24,collector-B,ed3626a3f33be3964c73e773ecf6d1c0aaddfec8fb1fcac92751562adacf150a,9ecsg8MtnbkGUdaZfm9Wp2tkRaWNiXGwDZBaavbFE6pHgah5qQv,822208,2022-08-23,1051203,3,0.1,0.07672541,ergopad=0.67
c73cdc36d232ea2400c7568fbf67065f1a0b9a75aa551e4bbd17056330bec736,1873411,2026-09-15 03:24,collector-B,fbb38f5e85658b9a3908c5dbc42331e61a29e3ac99a9157b7eb2c32c1fe9c25c,9ggt1QQ5jUnWkmpAKAFLv3FfDpURxb3dV8kfPNGrq9FWVqAw1aX,822208,2022-08-23,1051203,3,0.1,0.026202584,ergopad=0.23
c73cdc36d232ea2400c7568fbf67065f1a0b9a75aa551e4bbd17056330bec736,1873411,2026-09-15 03:24,collector-B,35fae8cb0e855ade642543eaaa9034120fdbe39933292018685d6a2507456167,9hvCssjGLLotMG3eZRofcDqcrvKh12wFbrGVoq2EVZz9e5hNiFV,822208,2022-08-23,1051203,3,0.1,0.071290473,ergopad=0.62
c73cdc36d232ea2400c7568fbf67065f1a0b9a75aa551e4bbd17056330bec736,1873411,2026-09-15 03:24,collector-B,b27e61d48eca3163ce5edd7853b5aba668bf8df3761ef25f3703d8242ca2be53,9eoNnHwNmsm5tB51TL2hJz7vd2buXenqMbwsuVWiEMmEbK3SWNu,822208,2022-08-23,1051203,3,0.1,0.038954804,ergopad=0.34
c73cdc36d232ea2400c7568fbf67065f1a0b9a75aa551e4bbd17056330bec736,1873411,2026-09-15 03:24,collector-B,ce6f6755097d28546796e54be1cbca135db779f734cec25b9797c3967d7ecf95,9gRZ9cj879YkVt2W6KbCjDe72Cageq8XrpBHVhAciQCZBCiCk3a,822208,2022-08-23,1051203,3,0.1,0.080269166,ergopad=0.70
d499e2110de010797ba7f9025a8b5c8adbb2a5693e7522a54317275a8cff8cc7,1873429,2026-09-15 03:59,collector-B,c5617261635c6f27fa838708167049b1fbc5a20bafc83b12b8c374f25e5153a8,9fGBthDPFCVUvhhyE2kWGSxzwGjQiHNksMfTph9Ar4pXzJG5D9T,822228,2022-08-23,1051201,1,0.0,0.01,ergopad Stake Key=1.00
f40850b227f27a8e90cd3983147c67803cd86f99554aa0a5b5f6cf6a2766bc4f,1873437,2026-09-15 04:13,collector-B,f5c6e8fd0b91ed40933de32b7521c4157693b467122d231be2a6a7470c5bd630,9fzgqouBV5ZsJ4U7aQQLZp29KQeH5y4wP8C9mBP87f6UvwJTxDv,822235,2022-08-23,1051202,2,0.1,0.00015,"🍆💦=4,000.00"
2085d48e22256defdbd2b25bb59eef9ae6dd5b983c525f0ffecff9401e6492b2,1873518,2026-09-15 06:54,collector-B,d561639c545f99d1a282bb1d08aaff39024e3f28d6da5907bb518c275fd9ef0b,9iDmcRZVssPjM5CWLwmz25R5QfPaWQh7fmf8FhZSTedjYk4zMje,822316,2022-08-23,1051202,2,0.1,0.001,"eTOSI=500.00; COMET=12,500.00"
0acce39693f7eed15f7a4e96e336a0fb9537ac23c88314f8ae9e3f70a5efb6ce,1873527,2026-09-15 07:15,collector-A,7c92084ecaedc04c993f2c130f583193ac055311293e998a177df369725ab06d,9gK4EHM1wiZda2f8849GhPB2wYbEmXPDEByWBmoSpFprHCQnPZQ,822326,2022-08-23,1051201,1,0.0,5.693941353,(ERG only)
